update_freq,net_usd,final_pct,sharpe,min_drawdown,win_rate,trades_per_year,avg_hold_hrs
1,1.926373034129874,103.93433626173614,6.593888735962033,-6.639503978523253,77.46478873239437,289.45200698080276,30.264084507042252
2,1.9969503082681876,107.74221875010454,7.531099243439037,-1.644260430577671,82.45614035087719,232.37696335078533,37.69736842105263
3,2.058359543311056,111.05545454163668,6.954737354811289,-5.49264551253591,87.2340425531915,191.60907504363,45.71808510638298
4,1.8075458604413905,97.52320860973957,6.999123114090603,-1.1037829291643875,93.33333333333333,183.45549738219896,47.75
5,1.6417489570968524,88.57790528682979,6.494277346540399,-0.9558240026283804,87.17948717948718,158.99476439790575,55.09615384615385
6,1.4538422877032509,78.43970535537207,6.193308368919516,-0.9558240026283915,85.36585365853658,167.1483420593368,52.40853658536586
7,2.494834990648023,134.60478019652103,8.424965828444225,0.0,100.0,163.0715532286213,53.71875
8,1.8296586850778507,98.71627023941546,6.565161872212747,-1.6630759452551325,84.61538461538461,158.99476439790575,55.09615384615385
9,2.1572092561795695,116.38873065930866,7.330544856564106,-1.0865225781631738,90.32258064516128,126.3804537521815,69.31451612903226
10,1.7216937732964999,92.89119833135683,6.298880434260527,-1.4194761701828873,91.66666666666666,97.84293193717278,89.53125
11,1.8279147568519176,98.62217941721272,6.724016235155363,-1.4486491281318958,83.33333333333334,122.30366492146598,71.625
12,1.4673037949844154,79.16599917259337,6.176188056882154,-1.0865225781631516,88.88888888888889,110.07329842931937,79.58333333333333
13,2.154010008762671,116.21612044782768,7.369533181123575,0.0,96.0,101.91972076788831,85.95
14,2.3392649255507245,126.21124936338921,7.640083907197363,-1.216701934423381,92.85714285714286,114.15008726003491,76.74107142857143
15,1.9052864445209994,102.79664348043538,6.768247835812226,-2.2820052880729635,90.47619047619048,85.61256544502618,102.32142857142857
16,2.3434182469421576,126.43533509053148,8.204742811897344,0.0,96.29629629629629,110.07329842931937,79.58333333333333
17,1.9317598213673859,104.22497164034384,7.328122715475768,-0.38348926245866943,94.44444444444444,73.38219895287958,119.375
18,1.7582244251246528,94.86215046975335,6.620470848368729,-1.0865225781631516,90.0,81.53577661431065,107.4375
19,1.752794319817534,94.56917793487686,7.459218517872896,0.0,100.0,65.22862129144852,134.296875
20,1.5187194048926362,81.94004511002369,6.012715656184608,-1.4194761701829095,87.5,65.22862129144852,134.296875
21,1.9328369770586142,104.28308783063247,6.453324699557617,-6.059630875554934,94.44444444444444,73.38219895287958,119.375
22,1.9262202589361466,103.92609352365997,6.942949104584234,-1.6404824594844714,80.0,81.53577661431065,107.4375
23,1.1317072208254118,61.059429692563484,5.225999680504446,-0.18135863869660485,93.75,65.22862129144852,134.296875
24,1.4823176299156686,79.97604631334767,6.337733215305392,-1.0865225781631405,88.23529411764706,69.30541012216405,126.39705882352942
25,1.34307622438147,72.46350185391745,5.996842999958985,-1.0865225781631627,93.75,65.22862129144852,134.296875
26,1.4073824549094731,75.93304034361144,6.596183071721832,0.0,100.0,48.92146596858639,179.0625
27,1.5093758891548983,81.43593085523112,5.641335231412786,-7.073717611123298,83.33333333333334,73.38219895287958,119.375
28,2.316345433170109,124.97466528240867,8.521397063230316,0.0,100.0,81.53577661431065,107.4375
29,2.071704798631375,111.77547617264298,8.260882817059818,-0.13838494308647808,95.45454545454545,89.6893542757417,97.67045454545455
30,1.971449846803496,106.36638266345695,7.327738600974766,-2.2820052880729413,94.44444444444444,73.38219895287958,119.375
31,1.5146580092238424,81.72091908632338,7.255651352160088,0.0,100.0,48.92146596858639,179.0625
32,2.1425596651845487,115.59833571004528,8.022396513396778,-0.3151113618500512,95.45454545454545,89.6893542757417,97.67045454545455
33,1.758709662639078,94.88833067374163,6.981990182871193,0.0,100.0,65.22862129144852,134.296875
34,1.5049279139709624,81.19594756006427,6.884553581994028,0.0,100.0,48.92146596858639,179.0625
35,2.0746268100277305,111.93312856376807,7.986131749617885,0.0,100.0,65.22862129144852,134.296875
36,1.2407732592865648,66.94391110676537,5.73093399193232,0.0,100.0,48.92146596858639,179.0625
37,1.774831383069868,95.75815198180842,7.834805497351217,0.0,100.0,57.075043630017454,153.48214285714286
38,1.5338158578351226,82.75454977172986,7.28281445420114,0.0,100.0,57.075043630017454,153.48214285714286
39,1.947363640028462,105.06685039744552,8.583871214701883,0.0,100.0,57.075043630017454,153.48214285714286
40,1.5511355458982385,83.68900548264743,6.424992109791323,-1.4194761701828762,93.33333333333333,61.15183246073299,143.25
41,2.073520113677887,111.8734185551008,8.643591306903938,0.0,100.0,65.22862129144852,134.296875
42,1.7366277208922267,93.6969352803432,8.101204655068413,0.0,100.0,48.92146596858639,179.0625
43,1.7151113418287514,92.53605390529408,7.497791127062803,0.0,100.0,73.38219895287958,119.375
44,1.6482178915682215,88.92692616632216,8.030568924377205,0.0,100.0,48.92146596858639,179.0625
45,1.388973610186531,74.93982094958656,6.207966720865888,0.0,90.9090909090909,44.84467713787085,195.3409090909091
46,1.0837700168019244,58.473055509499275,5.355637217245195,-0.17298449761328216,91.66666666666666,48.92146596858639,179.0625
47,1.6382423663909682,88.38871286609894,7.371395800969813,0.0,100.0,48.92146596858639,179.0625
48,1.2868146846703956,69.42800162455761,6.513314319804103,0.0,100.0,44.84467713787085,195.3409090909091
49,1.7795828467690167,96.0145095081511,6.807158471140747,-5.82586544909508,87.5,65.22862129144852,134.296875
50,1.37010777844591,73.92194556135847,6.247842954675831,0.0,100.0,40.767888307155324,214.875
51,1.751972464358069,94.52483605499732,7.4901404554422095,0.0,100.0,48.92146596858639,179.0625
